datetime,money,hour,day,month,weekday,Year,coffee_name_Americano with Milk,coffee_name_Cappuccino,coffee_name_Cocoa,coffee_name_Cortado,coffee_name_Espresso,coffee_name_Hot Chocolate,coffee_name_Latte,cash_type_1
45:24.6,28.9,11,15,4,0,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
01:46.4,28.9,17,15,4,0,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
02:49.7,33.8,17,15,4,0,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
33:03.0,33.8,19,15,4,0,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
41:58.1,25,19,15,4,0,2024,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
43:49.9,35,10,16,4,1,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46:25.7,33.8,10,16,4,1,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40:47.7,38.7,12,16,4,1,2024,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
52:07.8,28.9,12,16,4,1,2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
03:16.9,28.9,15,16,4,1,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
42:04.2,33.8,17,16,4,1,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
43:23.0,38.7,17,16,4,1,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
09:05.3,38.7,18,16,4,1,2024,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
32:59.8,28.9,13,17,4,2,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
44:00.2,24,13,17,4,2,2024,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
13:24.3,40,16,17,4,2,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
01:35.1,38.7,17,17,4,2,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
02:40.7,38.7,17,17,4,2,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
14:03.2,28.9,18,17,4,2,2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
19:01.7,28.9,11,18,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
20:05.7,28.9,11,18,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
49:12.7,33.8,13,18,4,3,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
50:17.3,28.9,13,18,4,3,2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
34:19.8,38.7,14,18,4,3,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
35:49.4,38.7,14,18,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
44:15.8,38.7,17,18,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
21:05.9,38.7,18,18,4,3,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
39:51.2,38.7,19,18,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40:49.0,38.7,19,18,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
10:36.3,38.7,10,19,4,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
11:47.8,33.8,13,19,4,4,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
13:20.9,38.7,13,19,4,4,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
58:54.1,38.7,13,19,4,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
59:49.7,38.7,13,19,4,4,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
23:19.3,38.7,18,19,4,4,2024,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
25:33.4,33.8,18,19,4,4,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
24:42.7,35,11,20,4,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
08:35.7,33.8,12,20,4,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
09:42.7,33.8,12,20,4,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
08:37.4,28.9,13,20,4,5,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
09:47.9,33.8,13,20,4,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10:55.2,38.7,13,20,4,5,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
44:18.1,38.7,14,20,4,5,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11:00.3,33.8,15,20,4,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
22:40.7,32.82,15,20,4,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
49:25.1,32.82,15,20,4,5,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
07:58.0,39,17,20,4,5,2024,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
27:41.5,37.72,18,20,4,5,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
28:46.9,37.72,18,20,4,5,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
30:55.3,37.72,19,20,4,5,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
16:45.7,37.72,11,21,4,6,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
15:37.5,27.92,14,21,4,6,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
09:03.2,39,17,21,4,6,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
09:16.4,27.92,11,22,4,0,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29:27.1,32.82,11,22,4,0,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40:33.0,39,18,22,4,0,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
39:04.8,37.72,19,22,4,0,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
02:29.2,39,20,22,4,0,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22:36.0,37.72,14,23,4,1,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
23:53.1,32.82,14,23,4,1,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
24:57.5,37.72,14,23,4,1,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
42:27.8,32.82,19,23,4,1,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
43:26.2,32.82,19,23,4,1,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
19:38.3,37.72,10,24,4,2,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
21:27.3,32.82,10,24,4,2,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
23:46.1,32.82,11,24,4,2,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
33:26.3,32.82,11,24,4,2,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
39:09.3,32.82,12,24,4,2,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
39:07.4,32.82,16,24,4,2,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
39:50.0,32.82,19,24,4,2,2024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40:54.0,37.72,19,24,4,2,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
46:08.1,27.92,10,25,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
18:27.0,37.72,15,25,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
09:43.5,27.92,17,25,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10:49.2,27.92,17,25,4,3,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
12:50.6,37.72,10,26,4,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
01:30.6,37.72,12,26,4,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
31:28.3,37.72,13,26,4,4,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
32:35.4,27.92,15,26,4,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
33:33.1,27.92,15,26,4,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
23:26.5,27.92,16,26,4,4,2024,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
24:33.8,27.92,16,26,4,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
32:07.1,37.72,19,26,4,4,2024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
33:30.2,37.72,19,26,4,4,2024,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
